Brand,Actual_price,Discount_price,rating,RAM,Storage,processors,windows
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
HP,"₹45,995","₹31,980",4.2,8 GB,256 GB,i5,Windows 11
Lenovo,"₹69,890","₹50,061",4.1,8 GB,512 GB,Ryzen 7,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,512 GB,Ryzen 5,Windows 11
CHUWI,"₹59,990","₹41,990",4,8 GB,256 GB,i5,Windows 11
Acer,"₹69,990","₹40,990",4.4,16 GB,512 GB,i7,Windows 11
ASUS,"₹74,990","₹51,990",4.3,16 GB,512 GB,i3,Windows 11
Lenovo,"₹75,000","₹49,890",4.5,16 GB,512 GB,i3,Windows 11
Colorful,"₹1,39,999","₹83,990",4.1,16 GB,512 GB,Ryzen 7,Windows 11
CHUWI,"₹44,990","₹21,990",4,16 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹49,990","₹37,990",4.6,8 GB,256 GB,Ryzen 5,Windows 11
MSI,"₹1,03,990","₹89,990",4.2,12GB,512GB,Ryzen 5,Windows 11
HP,"₹40,528","₹24,999",4.2,12 GB,512 GB,i3,Windows 11
HP,"₹54,552","₹37,999",4,16 GB,512 GB,i5,Windows 11
Acer,"₹56,999","₹33,490",4.3,8 GB,512 GB,Ryzen 5,Windows 11
HP,"₹39,995","₹33,490",4.3,8 GB,512 GB,,Windows 11
HP,"₹68,223","₹49,490",4.3,16 GB,512 GB,,Windows 11
HP,"₹64,094","₹56,990",4.3,8 GB,,,Windows 11
ASUS,"₹1,22,990","₹96,990",4.4,8 GB,,,Windows 11
CHUWI,"₹34,990","₹15,990",3.7,8GB,256GB,Ryzen 5,Windows 11
CHUWI,"₹34,990","₹17,990",4.1,8 GB,256 GB,i5,Windows 11
DELL,"₹49,395","₹34,790",4.6,8 GB,256 GB,i3,Windows 11
Lenovo,"₹75,000","₹49,890",4.2,8 GB,512 GB,i7,Windows 11
HP,"₹50,903","₹34,999",4.1,16 GB,512 GB,i5,Windows 11
Lenovo,"₹81,990","₹62,020",4.1,8 GB,512 GB,Ryzen 3,Windows 11
CHUWI,"₹39,990","₹18,990",3.7,16 GB,512 GB,i3,Windows 11
CHUWI,"₹59,990","₹41,990",4.1,8 GB,256 GB,i3,Windows 11
HP,"₹40,528","₹24,999",4.1,16 GB,512 GB,i3,Windows 11
Acer,"₹47,990","₹29,990",4,8 GB,512 GB,i3,Windows 11
CHUWI,"₹44,990","₹21,990",4.3,8 GB,512 GB,i7,Windows 11
CHUWI,"₹49,990","₹37,990",4.5,8 GB,256 GB,i3,Windows 11
MSI,"₹47,990","₹29,990",4.3,12GB,512GB,i7,Windows 11
Colorful,"₹1,39,999","₹83,990",5,12 GB,512 GB,i5,Windows 11
HP,"₹39,724","₹31,090",4,8 GB,512 GB,i5,Windows 11
MSI,"₹60,990","₹54,990",4.1,16 GB,512 GB,i5,Windows 11
Infinix,"₹79,990","₹54,990",3.9,8 GB,512 GB,i3,Windows 11
DELL,"₹69,990","₹50,990",4,16 GB,512 GB,i5,Windows 11
HP,"₹64,957","₹40,840",4.1,16 GB,512 GB,i3,Windows 11
DELL,"₹64,890","₹50,990",5,8 GB,512 GB,Ryzen 7,Windows 11
Lenovo,"₹58,187","₹29,900",4.3,8 GB,512 GB,,Windows 11
